City,Country,Latitude,Longitude
Algiers,Algeria,36.83333333,3
Buenos Aires,Argentina,-34.58333333,-58.36666667
Cordoba,Argentina,-31.46666667,-64.16666667
Adelaide,Australia,-34.91666667,138.6
Brisbane,Australia,-27.48333333,153.1333333
Darwin,Australia,-12.46666667,130.85
Melbourne,Australia,-37.78333333,144.9666667
Perth,Australia,-31.95,115.8666667
Sydney,Australia,-34,151
Vienna,Austria,48.23333333,16.33333333
Brussels,Belgium,50.86666667,4.366666667
La Paz,Bolivia,-16.45,-68.36666667
Belem,Brazil,-1.466666667,-48.48333333
Rio de Janeiro,Brazil,-22.95,-43.2
Salvador,Brazil,-12.93333333,-38.45
Sao Paulo,Brazil,-23.51666667,-46.51666667
Sofia,Bulgaria,42.66666667,23.33333333
Iquique,Chile,-20.16666667,-70.11666667
Santiago,Chile,-33.46666667,-70.75
Beijing,China,39.91666667,116.4166667
Canton,China,23.11666667,113.25
Chongqing,China,29.76666667,106.5666667
Hong Kong,China,22.33333333,114.1833333
Nanjing,China,32.05,118.8833333
Shanghai,China,31.16666667,121.4666667
Bogota,Colombia,4.533333333,-74.25
Kinshasa,Congo,-4.3,15.28333333
Havana,Cuba,23.13333333,-82.38333333
Prague,Czech Republic,50.08333333,14.43333333
Copenhagen,Denmark,55.66666667,12.56666667
Djibouti,Djibouti,11.5,43.05
Guayaquil,Ecuador,-2.166666667,-79.93333333
Quito,Ecuador,-0.233333,-78.516667
Cairo,Egypt,30.03333333,31.35
Birmingham,England,52.41666667,-1.916666667
Bristol,England,51.46666667,-2.583333333
Leeds,England,53.75,-1.5
Liverpool,England,53.41666667,-3
London,England,51.53333333,-0.083333333
Manchester,England,53.5,-2.25
Newcastle-on-Tyne,England,54.96666667,-1.616666667
Plymouth,England,50.41666667,-4.083333333
Helsinki,Finland,60.16666667,25
Bordeaux,France,44.83333333,-0.516666667
Lyons,France,45.75,4.833333333
Marseilles,France,43.33333333,5.333333333
Paris,France,48.8,2.333333333
Cayenne,French Guiana,4.816666667,-52.3
Berlin,Germany,52.5,13.41666667
Bremen,Germany,53.08333333,8.816666667
Frankfurt,Germany,50.11666667,8.683333333
Hamburg,Germany,53.55,10.03333333
Munich,Germany,48.13333333,11.58333333
Athens,Greece,37.96666667,23.71666667
Guatemala City,Guatemala,14.61666667,-90.51666667
Georgetown,Guyana,6.75,-58.25
Budapest,Hungary,47.5,19.08333333
Reykjavik,Iceland,64.06666667,-21.96666667
Bombay,India,19,72.8
Calcutta,India,22.56666667,88.4
New Delhi,India,28.58333333,77.2
Jakarta,Indonesia,-6.266666667,106.8
Teheran,Iran,35.75,51.75
Dublin,Ireland,53.33333333,-6.25
Jerusalem,Israel,31.783333,35.216667
Milan,Italy,45.45,9.166666667
Naples,Italy,40.83333333,14.25
Rome,Italy,41.9,12.45
Venice,Italy,45.43333333,12.33333333
Kingston,Jamaica,17.98333333,-76.81666667
Nagasaki,Japan,32.8,129.95
Nagoya,Japan,35.11666667,136.9333333
Osaka,Japan,34.53333333,135.5
Tokyo,Japan,35.66666667,139.75
Amman,Jordan,31.95,35.933333
Nairobi,Kenya,-1.416666667,36.91666667
Beirut,Lebanon,33.9,35.5333333
Tripoli,Libya,32.95,13.2
Tananarive,Madagascar,-18.83333333,47.55
Kuala Lumpur,Malaysia,3.133333333,101.7
Chihuahua,Mexico,28.61666667,-106.0833333
Mazatlan,Mexico,23.2,-106.4166667
Mexico City,Mexico,19.43333333,-99.11666667
Veracruz,Mexico,19.16666667,-96.16666667
Rangoon,Myanmar,16.83333333,96
Amsterdam,Netherlands,52.36666667,4.883333333
Auckland,New Zealand,-36.86666667,174.75
Wellington,New Zealand,-41.28333333,174.7833333
